name,alcohol,character,class
Villa Maria 'Cellar Selection' Sauvignon Blanc 2020/21,14.0,1,Sauvignon Blanc
The King's Legacy Chardonnay 2019,13.5,1,Chardonnay
Kangarilla Road Chardonnay 2020,13.0,1,Chardonnay
Yalumba Y Series Viognier 2020/21,13.5,1,
Rustenberg Sauvignon Blanc 2020,13.5,1,Sauvignon Blanc
Essensia Orange Muscat 2018/19 Andrew Quady Half Bottle,15.0,7,
Luis Felipe Edwards Gran Reserva Chardonnay 2020/21,13.5,1,Chardonnay
Gonzalez Byass 'Tio Pepe' Fino Sherry,15.0,1,
Pedro's Almacenista Selection Palo Cortado Sherry,20.0,1,
10 year old Malmsey Henriques and Henriques Madeira 50cl,20.0,7,
Pedro's Almacenista Selection Amontillado Sherry,19.0,1,
Escarpment Chardonnay 2018/19,13.5,1,Chardonnay
Château de Chassagne-Montrachet 2018/19,13.0,1,
Dr Loosen ‘Graacher Himmelreich’ Riesling Spätlese 2019/20,9.5,5,Riesling
Alluria Organic Pinot Grigio 2020,12.0,1,Pinot Grigio
Winemaker Series Godello 2019/20,13.0,1,
Varzea Vinho Verde 2020,9.5,1,
Yalumba Y Series Sauvignon Blanc 2019/20,13.5,1,Sauvignon Blanc
Smith and Wright Chardonnay 2019/20,13.0,1,Chardonnay
Ayala 'Le Blanc de Blancs' Champagne 2014/15,12.0,1,
Thierry Delaunay Manoir Touraine Sauvignon Blanc 2020,13.0,1,Sauvignon Blanc
Freixenet Prosecco DOC,11.0,1,
Freixenet 'Cordon Negro' Brut Cava,11.5,1,
Cave de Lugny 'Reserve' Mâcon-Chardonnay 2019/20,13.0,1,Chardonnay
Chassagne-Montrachet Blanc 2019 Château de la Maltroye,14.5,1,
Domaine Trouillet Pouilly-Fuissé 2019/20,13.5,1,
Talbott 'Kali Hart' Chardonnay 2018,14.5,1,Chardonnay
St Cosme 'Micro Cosme' Sauvignon-Viognier 2019/20,12.5,1,
